540 162   configurations maxatom
15    -9.650900    1763.1820    nw1_s1000_w10
   C   -5.08893697E-02   -2.52126564E-01   -6.25549075E-01
   H    1.62346283E-01    4.77749313E-01    1.68685462E-01
   H    8.66591512E-01   -3.81392093E-01   -1.21905173E+00
   H   -8.11123072E-01    2.03296927E-01   -1.27641738E+00
   C   -5.85762982E-01   -1.52258189E+00   -2.39527956E-02
   O   -1.59443619E+00   -1.57169073E+00    6.65412767E-01
   N    1.53379051E-01   -2.66923950E+00   -3.04859975E-01
   H    9.95984865E-01   -2.64141311E+00   -8.78045124E-01
   C   -2.57865038E-01   -3.98445678E+00    2.21972679E-01
   H    5.24608461E-01   -4.40896832E+00    8.70973935E-01
   H   -1.18313465E+00   -3.88447747E+00    8.26701541E-01
   H   -4.66687965E-01   -4.68805030E+00   -5.99628261E-01
   O    2.44439664E+00   -1.72402296E+00   -2.02775384E+00
   H    3.33731755E+00   -1.63911030E+00   -1.70766931E+00
   H    2.48912307E+00   -1.87765174E+00   -2.96656713E+00
15    -9.648500    1763.1844    nw1_s1000_w12
   C   -2.69968500E-01    2.83363781E-01   -7.48176379E-02
   H   -1.24888179E+00    7.24594660E-01    1.61908119E-01
   H    4.22981917E-01    5.45541603E-01    7.38697408E-01
   H    8.49706705E-02    7.76776947E-01   -9.91092357E-01
   C   -4.17900468E-01   -1.19431671E+00   -3.12814973E-01
   O   -1.14261581E+00   -1.67095528E+00   -1.17459247E+00
   N    3.37779833E-01   -2.00914697E+00    5.26864445E-01
   H    9.45705209E-01   -1.62402777E+00    1.24895155E+00
   C    2.88232833E-01   -3.47842694E+00    4.03448569E-01
   H   -7.54092903E-02   -3.93819121E+00    1.33621748E+00
   H   -4.04104333E-01   -3.77285835E+00   -4.12512629E-01
   H    1.28354432E+00   -3.88558157E+00    1.64170785E-01
   O    1.82730308E+00   -1.06248302E-01    2.33536748E+00
   H    2.75648247E+00    8.08760634E-02    2.24271320E+00
   H    1.59497551E+00    3.70118177E-02    3.24776535E+00
15    -28.460000    1744.3729    nw1_s1000_w14
   C    2.82043626E-01   -6.80196904E-01    8.80712103E-01
   H   -3.22271854E-02   -3.78311793E-01    1.90604400E+00
   H    1.32123284E+00   -3.50555856E-01    7.62884526E-01
   H   -3.40380587E-01   -1.08205215E-01    1.82232635E-01
   C    1.19414764E-01   -2.16278333E+00    7.27310043E-01
   O   -2.99958758E-01   -2.89145558E+00    1.62337399E+00
   N    4.74639320E-01   -2.68842019E+00   -5.08712386E-01
   H    8.22220278E-01   -2.10936001E+00   -1.26175394E+00
   C    3.59777202E-01   -4.13476614E+00   -7.83680730E-01
   H   -2.97169838E-02   -4.66833960E+00    1.08339004E-01
   H   -3.36381421E-01   -4.32088993E+00   -1.61784625E+00
   H    1.34372100E+00   -4.56591911E+00   -1.03080944E+00
   O   -8.07012312E-01   -1.51709325E+00    3.64809508E+00
   H   -5.75166473E-02   -2.11919253E+00    3.57634202E+00
   H   -1.47830132E+00   -1.91198613E+00    3.07990018E+00
15    -28.422400    1744.4105    nw1_s1000_w16
   C    5.51548934E-01    1.07908403E-01    3.59586704E-01
   H    1.05969938E+00    1.55308874E-01    1.33015320E+00
   H    1.03424102E+00    8.74338698E-01   -2.89092782E-01
   H   -4.87705072E-01    4.28061697E-01    5.00771292E-01
   C    6.63832252E-01   -1.23747905E+00   -2.92637409E-01
   O    1.21286854E+00   -1.41752690E+00   -1.37701820E+00
   N    1.02821960E-01   -2.29981526E+00    4.05189828E-01
   H   -3.54338235E-01   -2.17709981E+00    1.29913812E+00
   C    1.48649107E-01   -3.67435436E+00   -1.32622425E-01
   H   -8.69054832E-01   -4.06864563E+00   -2.87329328E-01
   H    6.70467902E-01   -3.68921609E+00   -1.11221468E+00
   H    6.96030987E-01   -4.34429055E+00    5.50515626E-01
   O    2.06615355E+00    7.61623259E-01   -2.25308107E+00
   H    1.30564363E+00    2.93162720E-01   -2.61576388E+00
   H    2.62885210E+00    5.94917081E-02   -1.90689059E+00
15    -35.838800    1736.9941    nw1_s1000_w18
   C    3.10404583E-01    2.71604313E-01    2.09527736E-01
   H   -4.69463782E-01    4.83613468E-01    9.51895328E-01
   H    1.28356159E+00    3.12456468E-01    7.11140414E-01
   H    2.88876946E-01    1.12034541E+00   -5.13888697E-01
   C    7.03183627E-02   -1.01563913E+00   -5.19195712E-01
   O   -2.26750032E-01   -1.07778100E+00   -1.71041583E+00
   N    2.02591429E-01   -2.17447582E+00    2.37168629E-01
   H    4.40784051E-01   -2.15254876E+00    1.21980394E+00
   C   -1.52698399E-02   -3.50598658E+00   -3.62828509E-01
   H   -8.44597616E-01   -4.03117516E+00    1.38604288E-01
   H   -2.76995735E-01   -3.40767628E+00   -1.43704849E+00
   H    8.97003278E-01   -4.12067211E+00   -2.93161819E-01
   O   -1.15998738E-01    1.49821527E+00   -2.58955437E+00
   H   -5.10056317E-01    6.06195816E-01   -2.50652729E+00
   H    6.04425596E-01    1.40528915E+00   -3.20019540E+00
15    -22.254900    1750.5780    nw1_s1000_w2
   C   -7.19569879E-02   -3.02113744E-02    2.49696823E-02
   H    3.05480438E-01    2.47932888E-01    1.01732149E+00
   H    7.03882929E-01    2.06266733E-01   -7.14449058E-01
   H   -9.28450412E-01    6.32627926E-01   -1.88017091E-01
   C   -5.13846661E-01   -1.46562864E+00   -4.21724868E-02
   O   -1.66666746E+00   -1.79686338E+00   -2.99432324E-01
   N    4.75787218E-01   -2.40586689E+00    2.08052161E-01
   H    1.42782136E+00   -2.13491016E+00    4.20588997E-01
   C    2.03059546E-01   -3.85640156E+00    1.80222442E-01
   H   -8.69493842E-01   -4.06109801E+00   -6.12251153E-02
   H    8.13371541E-01   -4.35559014E+00   -5.89060364E-01
