   1   1   1   1 -0.251163795002161E+02
   2   2   1   1 -0.497809467660245E+02
   3   3   1   1  0.106972400953304E+03
   4   4   1   1 -0.199480023732423E+02
   5   5   1   1  0.505619781035688E+01
   6   6   1   1 -0.147612708697647E+02
   7   1   2   1  0.166107184368405E+02
   8   2   2   1  0.746794468295442E+01
   9   3   2   1 -0.469583465380821E+02
  10   4   2   1  0.190844384007756E+02
  11   5   2   1 -0.304697260845498E+01
  12   6   2   1  0.549866693591980E+01
  13   1   1   2 -0.897250529939786E-12
  14   2   1   2 -0.682761581589197E-11
  15   3   1   2  0.108545280714443E-10
  16   4   1   2 -0.333115119194666E-12
  17   5   1   2 -0.256699867792935E-12
  18   6   1   2 -0.663092604481589E-12
  19   1   2   2  0.972605832252852E-12
  20   2   2   2  0.728973020913632E-12
  21   3   2   2 -0.432941224250230E-11
  22   4   2   2  0.177682774581921E-11
  23   5   2   2 -0.962564686021544E-13
  24   6   2   2 -0.571153772927123E-13
  25   1   1   3 -0.389228707934029E-12
  26   2   1   3 -0.134492534309468E-11
  27   3   1   3  0.274501780813770E-11
  28   4   1   3 -0.360291589177717E-12
  29   5   1   3 -0.598038726115216E-13
  30   6   1   3  0.327905113908906E-13
  31   1   2   3  0.330200372866972E-12
  32   2   2   3 -0.129996274430198E-12
  33   3   2   3 -0.100901503616023E-11
  34   4   2   3  0.622613159386071E-12
  35   5   2   3 -0.370698842236305E-13
  36   6   2   3 -0.124922530654864E-12
  37   1   1   4 -0.279792061331130E+03
  38   2   1   4 -0.822019809609607E+02
  39   3   1   4  0.731405718502622E+03
  40   4   1   4 -0.288742102684080E+03
  41   5   1   4 -0.983734658400996E+01
  42   6   1   4  0.477185328671521E+02
  43   1   2   4  0.170296678061758E+03
  44   2   2   4 -0.182282672609509E+03
  45   3   2   4 -0.255761947596705E+03
  46   4   2   4  0.241831681401761E+03
  47   5   2   4 -0.934445429759471E+01
  48   6   2   4 -0.463682502279505E+02
  49   1   1   5 -0.598699471587583E+03
  50   2   1   5  0.372184716740451E+03
  51   3   1   5  0.721380696323505E+03
  52   4   1   5 -0.592265980841451E+03
  53   5   1   5 -0.881361415024101E+01
  54   6   1   5  0.708613022187185E+02
  55   1   2   5  0.316520169163631E+03
  56   2   2   5 -0.412058348097397E+03
  57   3   2   5 -0.254560576975399E+03
  58   4   2   5  0.358880574288534E+03
  59   5   2   5 -0.585858895095290E+01
  60   6   2   5 -0.473760997935078E+02
  61   1   1   6 -0.352838379896292E-11
  62   2   1   6  0.354154720550793E-11
  63   3   1   6  0.209278702996178E-11
  64   4   1   6 -0.337871196949670E-11
  65   5   1   6 -0.339353267732938E-13
  66   6   1   6  0.194784816321931E-12
  67   1   2   6  0.171971885909140E-11
  68   2   2   6 -0.248958426694230E-11
  69   3   2   6 -0.831104985389102E-12
  70   4   2   6  0.171571868825763E-11
  71   5   2   6 -0.324270470694790E-14
  72   6   2   6 -0.108175702803350E-12
  73   1   1   7 -0.318515174444126E-09
  74   2   1   7  0.402065524293219E-09
  75   3   1   7  0.798601632494924E-10
  76   4   1   7 -0.303035003340899E-09
  77   5   1   7 -0.215720229248374E-11
  78   6   1   7 -0.394208975086667E-11
  79   1   2   7  0.145013596141726E-09
  80   2   2   7 -0.237165611272343E-09
  81   3   2   7 -0.458422690401021E-10
  82   4   2   7  0.136233454028266E-09
  83   5   2   7  0.822553925366541E-12
  84   6   2   7  0.770757446220625E-13
  85   1   1   8 -0.346059444384679E-09
  86   2   1   8  0.527751711498280E-09
  87   3   1   8  0.801289486775792E-11
  88   4   1   8 -0.334580750096918E-09
  89   5   1   8 -0.158177689619121E-11
  90   6   1   8 -0.297930706851176E-10
  91   1   2   8  0.147121242468207E-09
  92   2   2   8 -0.281903778477292E-09
  93   3   2   8 -0.322934243572955E-10
  94   4   2   8  0.135459185427505E-09
  95   5   2   8  0.136053380634324E-11
  96   6   2   8  0.718423726097597E-11
  97   1   1   9 -0.425553171665297E-09
  98   2   1   9  0.785571829038606E-09
  99   3   1   9 -0.633003585489803E-10
 100   4   1   9 -0.425363875846903E-09
 101   5   1   9 -0.123844170085159E-11
 102   6   1   9 -0.722218354586649E-10
 103   1   2   9  0.168260819724162E-09
 104   2   2   9 -0.391124613775563E-09
 105   3   2   9 -0.268178648457203E-10
 106   4   2   9  0.155467388781432E-09
 107   5   2   9  0.183771166585755E-11
 108   6   2   9  0.143299434436632E-10
 109   1   1  10 -0.125662236017592E-08
 110   2   1  10  0.283712394149729E-08
 111   3   1  10 -0.368376716687873E-09
 112   4   1  10 -0.131574250991826E-08
 113   5   1  10 -0.219281908136843E-11
 114   6   1  10 -0.338963023144723E-09
 115   1   2  10  0.459183143467983E-09
 116   2   2  10 -0.133289566991917E-08
 117   3   2  10 -0.551353912282314E-10
 118   4   2  10  0.432896825207615E-09
 119   5   2  10  0.533006112308723E-11
 120   6   2  10  0.505181621782430E-10
 121   1   1  11 -0.779208886099413E-09
 122   2   1  11  0.216884649104889E-08
 123   3   1  11 -0.330906909519875E-09
 124   4   1  11 -0.863021330004164E-09
 125   5   1  11 -0.760711200633292E-12
 126   6   1  11 -0.308106913747089E-09
 127   1   2  11  0.260099252930906E-09
 128   2   2  11 -0.966519646611641E-09
 129   3   2  11 -0.243326248772550E-10
 130   4   2  11  0.254274867125866E-09
 131   5   2  11  0.306192492876597E-11
 132   6   2  11  0.317389447427642E-10
 133   1   1  12 -0.125260810407504E-07
 134   2   1  12  0.429514151650914E-07
 135   3   1  12 -0.686927022108708E-08
 136   4   1  12 -0.147493504167622E-07
 137   5   1  12 -0.621186808647472E-11
 138   6   1  12 -0.697325924224318E-08
 139   1   2  12  0.373026569626954E-08
 140   2   2  12 -0.181889849985587E-07
 141   3   2  12 -0.281412201783952E-09
 142   4   2  12  0.386205334636300E-08
 143   5   2  12  0.436530708511768E-10
 144   6   2  12  0.438942408741680E-09
 145   1   1  13 -0.125080837799009E-07
 146   2   1  13  0.519801238538217E-07
 147   3   1  13 -0.823565934188914E-08
 148   4   1  13 -0.155980444162610E-07
 149   5   1  13 -0.267828304944171E-11
 150   6   1  13 -0.948117497415447E-08
 151   1   2  13  0.317069565231756E-08
 152   2   2  13 -0.209169240681960E-07
 153   3   2  13 -0.200860596461099E-09
 154   4   2  13  0.358921897636512E-08
 155   5   2  13  0.368700846064990E-10
 156   6   2  13  0.283919249965622E-09
 157   1   1  14 -0.601988882378148E+06
 158   2   1  14  0.291435149237365E+07
 159   3   1  14 -0.442888583753666E+06
 160   4   1  14 -0.780249994960785E+06
 161   5   1  14 -0.388477142279519E+02
 162   6   1  14 -0.593368016559203E+06
 163   1   2  14  0.119050277565674E+06
 164   2   2  14 -0.111320813876307E+07
 165   3   2  14 -0.669793007125710E+04
 166   4   2  14  0.155240363753215E+06
 167   5   2  14  0.140788682042073E+04
 168   6   2  14  0.248795048225249E+04
